Item Num|Lattitude|Longitude|Price Bracket|Price|Address
3|-37.01689552|174.8888645|2|570000|9 Ruth Street Manurewa Auckland
4|-39.59255988|176.9083607|2|390000|66 Main Road Clive
5|-40.61578795|175.3053804|1|290000|73 Kennedy Drive Levin
6|-43.63619412|172.4848187|2|550000|22 Roblyn Place Lincoln
7|-37.43799178|175.9570971|4|970000|131 Koutunui Road Athenree Waihi Beach
8|-37.25451222|174.9478807|3|730000|6 Bovill Way Tuakau
10|-46.14018733|168.3237144|1|155000|218 Park Street Winton
11|-37.67479677|176.1528857|3|616000|28 Rutherford Street Otumoetai Tauranga
12|-42.7176675|170.9644843|1|255000|52 Sewell Street Hokitika
13|-37.0458978|174.9124584|3|840000|2 Biscay Place Conifer Grove Takanini
14|-36.99950447|174.8841308|3|720000|35 Inverell Avenue Wiri Auckland
15|-43.58217588|172.5994766|3|620000|92 Penruddock Rise Westmorland Christchurch
18|-36.87514583|174.7216966|5|1340000|18 Linwood Avenue Mount Albert Auckland
20|-41.10481872|175.094544|2|475000|1A Clearwater Terrace Brown Owl Upper Hutt
22|-43.38246117|172.6325429|2|520000|28 Footbridge Terrace Kaiapoi
23|-35.69206817|174.3005757|2|415000|10 Elgin Place Kamo Whangarei
26|-35.76875755|174.3564485|1|240000|114 Handforth Street Onerahi Whangarei
27|-35.71379055|174.3172727|2|350000|41 Manse Street Kensington Whangarei
29|-37.74995195|175.2473721|2|430000|20 Larnach Street Saint Andrews Hamilton
32|-36.8700703|174.5557981|4|1080000|5 Puketaha Road Swanson Auckland
36|-43.58353585|172.7562487|2|540000|32 Ocean View Terrace Sumner Christchurch
37|-40.75490663|175.1396095|2|400000|28 Aotaki Street Otaki
38|-40.74219662|175.1130787|2|440000|106 Marine Parade Otaki Beach Otaki
40|-36.83451272|174.6533731|3|855000|30 Enderby Drive Te Atatu Peninsula Auckland
42|-40.90209037|175.0102689|2|440000|112 Makarini Street Paraparaumu
43|-41.26904542|173.2907916|3|620000|61 Grove Street The Wood Nelson
47|-36.83585723|174.6476413|4|900000|69 Kervil Avenue Te Atatu Peninsula Auckland
48|-36.81315865|175.0634982|3|820000|82 Fairview Crescent Omiha Waiheke Island
49|-41.12282448|175.0573269|2|425000|5 Clyma Street Elderslea Upper Hutt
50|-36.84164133|175.7439944|2|570000|32 Scott Drive Cooks Beach
51|-43.51175673|172.6024905|3|700000|79 Idris Road Fendalton Christchurch
54|-37.70428957|176.2806441|3|670000|135 Oriental Parade Papamoa Beach Papamoa
55|-36.95104643|174.8105661|3|620000|11 Jury Place Favona Auckland
59|-41.10065167|174.8452382|2|365000|122 Dimock Street Titahi Bay Porirua
60|-46.41502523|168.3824213|1|265000|44 Orwell Crescent Newfield Invercargill
61|-35.6299194|174.5391062|4|1090000|42 Dolphin Place Tutukaka
62|-35.10360508|173.769961|1|165000|81 Omaunu Road Kaeo
63|-37.68910532|176.1428256|2|346000|79 Kingswood Road Brookfield Tauranga
65|-36.7746069|174.7185567|3|860000|20 Manuka Road Glenfield Auckland
